Assembly Accession	Source Database	Organism Name	Organism Infraspecific Names Strain	Assembly Level	Assembly Stats Total Sequence Length	Assembly Stats Number of Contigs	Assembly Stats Total Number of Chromosomes	Assembly Stats GC Percent	CheckM completeness	CheckM contamination	Assembly Sequencing Tech	Assembly BioSample Accession	Assembly BioSample Isolation source	Assembly BioSample Host	Assembly BioSample Host disease	Assembly BioSample Geographic location	Assembly BioSample Collection date	Assembly BioProject Accession	Assembly BioProject Lineage Title	Assembly Release Date
GCF_001648215.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	AATZP	Complete Genome	5566588	4	4	57	98.55	1.47	PacBio RSII	SAMN03455970				USA	2014	PRJNA279650	Klebsiella pneumoniae strain:AATZP Genome sequencing	2016-05-19
GCF_001648215.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	AATZP	Complete Genome	5566588	4	4	57	98.55	1.47	PacBio RSII	SAMN03455970				USA	2014	PRJNA279650	Microbial Genomics Section	2016-05-19
GCF_001648215.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	AATZP	Complete Genome	5566588	4	4	57	98.55	1.47	PacBio RSII	SAMN03455970				USA	2014	PRJNA279650	National Institutes of Health Clinical Center Carbapenem Resistant Bacteria: An Analysis of Hospital Plumbing	2016-05-19
GCF_001663195.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	BR	Complete Genome	5420718	2	2	57.5	97.64	0.73	PacBio	SAMN05188406		Homo sapiens		China: hangzhou	2015	PRJNA323746	Klebsiella pneumoniae Genome sequencing and assembly	2016-06-15
GCF_001663295.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	KPNIH39	Complete Genome	5779669	4	4	57	98.81	0.98	PacBio RSII	SAMN03455930				USA	2014	PRJNA279611	Klebsiella pneumoniae strain:KPNIH39 Phenotype or Genotype	2016-06-15
GCF_001663295.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	KPNIH39	Complete Genome	5779669	4	4	57	98.81	0.98	PacBio RSII	SAMN03455930				USA	2014	PRJNA279611	Microbial Genomics Section	2016-06-15
GCF_001663435.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	Kpn223	Complete Genome	5536135	2	2	57	98.29	0.84	PacBio RSII	SAMN03455975				USA	2013	PRJNA279655	Klebsiella pneumoniae strain:Kpn223 Genome sequencing	2016-06-16
GCF_001663435.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	Kpn223	Complete Genome	5536135	2	2	57	98.29	0.84	PacBio RSII	SAMN03455975				USA	2013	PRJNA279655	Microbial Genomics Section	2016-06-16
GCF_001663455.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	Kpn555	Complete Genome	5730336	4	4	57	98.29	0.86	PacBio RSII	SAMN03455976				USA	2014	PRJNA279656	Klebsiella pneumoniae strain:Kpn555 Genome sequencing	2016-06-16
GCF_001663455.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	Kpn555	Complete Genome	5730336	4	4	57	98.29	0.86	PacBio RSII	SAMN03455976				USA	2014	PRJNA279656	Microbial Genomics Section	2016-06-16
GCF_001675125.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	KPNIH36	Complete Genome	5681468	4	4	57	98.79	0.19	PacBio RSII	SAMN03701676				USA	2013	PRJNA284365	Klebsiella pneumoniae strain:KPNIH36 Phenotype or Genotype	2016-06-22
GCF_001675125.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	KPNIH36	Complete Genome	5681468	4	4	57	98.79	0.19	PacBio RSII	SAMN03701676				USA	2013	PRJNA284365	Microbial Genomics Section	2016-06-22
GCF_001675125.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	KPNIH36	Complete Genome	5681468	4	4	57	98.79	0.19	PacBio RSII	SAMN03701676				USA	2013	PRJNA284365	National Institutes of Health Clinical Center Carbapenem Resistant Bacteria: An Analysis of Hospital Plumbing	2016-06-22
GCF_001676825.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	TH1	Complete Genome	5495471	3	3	57	98.29	0.68	Illumina HiSeq	SAMN05170048	human fecal sample			China: Beijing	2014-06-24	PRJNA321635	Klebsiella pneumoniae strain:TH1 Genome sequencing	2016-06-27
GCF_001699105.2	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	XH210	Complete Genome	5445524	3	3	57.5	98.89	1.83	Illumina HiSeq; Oxford Nanopore MiniION	SAMN03252408	blood from patient with pneumonia	Homo sapiens	Pneumonia due to Klebsiella pneumoniae	China:Hangzhou	2013-12-15	PRJNA261555	Klebsiella pneumoniae Genome sequencing	2021-07-20
GCF_001701425.2	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	1_GR_13	Complete Genome	5760711	6	6	57	98.03	1.33	Illumina MiSeq/ ONT MinION	SAMN04868721	stool	Homo sapiens	missing	Greece: Athens	2013-02-18	PRJNA307517	Multiple species Genome sequencing and assembly	2018-12-06
GCF_001701835.2	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	16_GR_13	Complete Genome	5843511	6	6	57	98.9	0.48	Illumina MiSeq/ ONT MinION	SAMN04868736	stool	Homo sapiens	missing	Greece: Athens	2013-11-08	PRJNA307517	Multiple species Genome sequencing and assembly	2018-12-06
GCF_001701845.2	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	20_GR_12	Complete Genome	5674561	5	5	57	98.98	0.28	Illumina MiSeq/ ONT MinION	SAMN04868740	stool	Homo sapiens	missing	Greece: Athens	2012-11-29	PRJNA307517	Multiple species Genome sequencing and assembly	2018-12-06
GCF_001702045.2	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	2_GR_12	Complete Genome	5992634	6	6	57	98.84	0.45	Illumina MiSeq/ ONT MinION	SAMN04868722	urine	Homo sapiens	missing	Greece: Athens	2012-03-12	PRJNA307517	Multiple species Genome sequencing and assembly	2018-12-06
GCF_001704235.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	DHQP1002001	Complete Genome	5558458	3	3	57.5	97.3	1.43	PacBio	SAMN04448219	urine	Homo sapiens	NA	USA: California	2010-06-14	PRJNA296771	Klebsiella pneumoniae, Escherichia coli and Enterobacter aerogenes that produce an OXA-48 carbapenemase	2016-08-12
GCF_001704235.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	DHQP1002001	Complete Genome	5558458	3	3	57.5	97.3	1.43	PacBio	SAMN04448219	urine	Homo sapiens	NA	USA: California	2010-06-14	PRJNA296771	CDC HAI-Seq	2016-08-12
GCF_001704235.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	DHQP1002001	Complete Genome	5558458	3	3	57.5	97.3	1.43	PacBio	SAMN04448219	urine	Homo sapiens	NA	USA: California	2010-06-14	PRJNA296771	CDC DHQP Seq	2016-08-12
GCF_001705385.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae		Complete Genome	5803735	4	4	57	99.07	0.31	PacBio	SAMN05149976	blood	Homo sapiens	septicemia	Switzerland: Basel	2010-07-28	PRJNA322244	Klebsiella pneumoniae sequencing of a clinical relevant KPC-3 multidrug resistant strain	2016-08-16
GCF_001708225.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	ED23	Complete Genome	5587396	2	2	57.5	98.88	0.33	PacBio	SAMN05425526	blood	Homo sapiens		Taiwan	2006	PRJNA330755	Pathogenic mechanism of Klebsiella pneumoniae (ST23)	2016-08-19
GCF_001708245.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	ED2	Complete Genome	5412960	1	1	57.5	98.35	0.22	PacBio	SAMN05425525	blood	Homo sapiens		Taiwan	2006	PRJNA330755	Pathogenic mechanism of Klebsiella pneumoniae (ST23)	2016-08-19
GCF_001709275.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae		Complete Genome	5805603	5	5	57	98.49	1.47	PacBio	SAMN04448229	urine	Homo sapiens	NA	USA: Pennsylvania	2013-03-14	PRJNA296771	Klebsiella pneumoniae, Escherichia coli and Enterobacter aerogenes that produce an OXA-48 carbapenemase	2016-08-23
GCF_001709275.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae		Complete Genome	5805603	5	5	57	98.49	1.47	PacBio	SAMN04448229	urine	Homo sapiens	NA	USA: Pennsylvania	2013-03-14	PRJNA296771	CDC HAI-Seq	2016-08-23
GCF_001709275.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae		Complete Genome	5805603	5	5	57	98.49	1.47	PacBio	SAMN04448229	urine	Homo sapiens	NA	USA: Pennsylvania	2013-03-14	PRJNA296771	CDC DHQP Seq	2016-08-23
GCF_001709295.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae		Complete Genome	5483848	4	4	57	98.66	0.75	PacBio	SAMN04448241	tracheal aspirate	Homo sapiens	NA	USA: Minnesota	2014-03-08	PRJNA296771	Klebsiella pneumoniae, Escherichia coli and Enterobacter aerogenes that produce an OXA-48 carbapenemase	2016-08-23
GCF_001709295.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae		Complete Genome	5483848	4	4	57	98.66	0.75	PacBio	SAMN04448241	tracheal aspirate	Homo sapiens	NA	USA: Minnesota	2014-03-08	PRJNA296771	CDC HAI-Seq	2016-08-23
GCF_001709295.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae		Complete Genome	5483848	4	4	57	98.66	0.75	PacBio	SAMN04448241	tracheal aspirate	Homo sapiens	NA	USA: Minnesota	2014-03-08	PRJNA296771	CDC DHQP Seq	2016-08-23
GCF_001718115.2	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	1194	Complete Genome	5766661	9	9	56.5	98.68	0.89	Oxford Nanopore PromethION; Illumina MiSeq	SAMN05193406	catheter tip	Homo sapiens	nosocomial infection	Brazil	2011	PRJNA323981	Klebsiella pneumoniae strain:1194 Genome sequencing	2022-01-12
GCF_001721725.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	UCLAOXA232KP_Pt0	Complete Genome	5312744	1	1	57.5	98.85	0.83	PacBio	SAMN04008891	respiratory	Homo sapiens	Aspiration pneumonia	USA: California	2014-10-12	PRJNA293620	Klebsiella pneumoniae Genome sequencing	2016-09-08
GCF_001741545.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	UCLAOXA232KP	Complete Genome	5798553	5	5	57	98.29	1.53	PacBio	SAMN04008893	Rectal	Homo sapiens	CRE Colonization	USA: California	2015-03-11	PRJNA293620	Klebsiella pneumoniae Genome sequencing	2016-09-08
GCF_001741665.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	UCLAOXA232KP	Complete Genome	5880491	7	7	57	98.55	1.57	PacBio	SAMN04008892	abdominal drainage	Homo sapiens	end-stage liver disease	USA: California	2014-10-12	PRJNA293620	Klebsiella pneumoniae Genome sequencing	2016-09-08
GCF_001855315.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	KP5	Complete Genome	5718854	5	5	57	98.55	1.72	PacBio	SAMN03770912	hospital	Homo sapiens	Colonization	Singapore	2014	PRJNA286828	Klebsiella pneumoniae strain:KP5 Genome sequencing and assembly	2016-10-27
GCF_001870165.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	CAV1016	Complete Genome	5597109	4	4	57.5	98.59	0.86	PacBio	SAMN03024573	Abdominal Abscess	Homo sapiens	Intra-abdominal infection	USA:Virginia	2007-08	PRJNA246471	Genome sequencing of KPC-producing Gammaproteobacteria	2016-11-07
GCF_001885255.2	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	Kp_Goe_822579	Complete Genome	5920942	7	7	56.5	98.42	1.21	PacBio RSII	SAMN05412444	nose	Homo sapiens	colonization	Germany: Goettingen	2013-03-12	PRJNA329409	Klebsiella pneumoniae Genome sequencing and assembly	2016-12-05
GCF_001887985.4	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	095649	Complete Genome	5632871	4	4	57.5	98.81	0.21	Illumina HiSeq; MinION	SAMN06019522	Secreta	Homo sapiens	Intra-abdominal Infection	China: Chengdu, Sichuan	2015-11-12	PRJNA353728	The Genome sequencing and assembly of Klebsiella spp.	2019-02-28
GCF_001887995.2	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	WCHKP095845	Complete Genome	5461882	4	4	57.5	98.46	1.59	Illumina HiSeq; MinION	SAMN06019523	sputum	Homo sapiens	Pneumoniae	China: Sichuan	2016-05-20	PRJNA353728	The Genome sequencing and assembly of Klebsiella spp.	2018-09-04
GCF_001902195.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	MNCRE78	Complete Genome	5778465	5	5	57	96.85	0.21	PacBio RS II; Illumina MiSeq	SAMN06067846	wound	Homo sapiens	Unknown	USA:Minnesota	2013-01	PRJNA355274	Klebsiella pneumoniae haboring KPC-2	2016-12-13
GCF_001902215.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	MNCRE69	Complete Genome	5773763	5	5	57	96.85	0.21	PacBio RS II; Illumina MiSeq	SAMN06067845	urine	Homo sapiens	Unknown	USA:Minnesota	2012-10	PRJNA355274	Klebsiella pneumoniae haboring KPC-2	2016-12-13
GCF_001902235.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	MNCRE53	Complete Genome	5811538	5	5	57	97.9	0.21	PacBio RS II; Illumina MiSeq	SAMN06067844	wound	Homo sapiens	Unknown	USA:Minnesota	2012-05	PRJNA355274	Klebsiella pneumoniae haboring KPC-2	2016-12-13
GCF_001902255.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	CAV1453	Complete Genome	5594981	4	4	57	98.94	0.19	PacBio	SAMN03733793	Perirectal	Homo sapiens	not applicable	USA:Virginia	2011-10	PRJNA246471	Genome sequencing of KPC-producing Gammaproteobacteria	2016-12-13
GCF_001902335.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae		Complete Genome	5851286	7	7	56.5	97.65	0.99	PacBio	SAMN05412805	wound swab	Homo sapiens	wound (hand)	Germany: Goettingen	2014-07-21	PRJNA329409	Klebsiella pneumoniae Genome sequencing and assembly	2016-12-13
GCF_001902355.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	Kp_Goe_62629	Complete Genome	5778578	3	3	57	98.85	1.82	PacBio	SAMN05412811	urine	Homo sapiens	urinary tract infection	Germany: Goettingen	2015-06-22	PRJNA329409	Klebsiella pneumoniae Genome sequencing and assembly	2016-12-13
GCF_001902415.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	Kp_Goe_822917	Complete Genome	5584283	9	9	57	98.9	0.19	PacBio	SAMN05412453	skin swab	Homo sapiens	colonization	Germany: Goettingen	2013-03-12	PRJNA329409	Klebsiella pneumoniae Genome sequencing and assembly	2016-12-13
GCF_001902435.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	Kp_Goe_33208	Complete Genome	5655658	3	3	57	98.42	0.67	PacBio	SAMN05412455	wound swab	Homo sapiens	wound infection	Germany: Goettingen	2013-04-05	PRJNA329409	Klebsiella pneumoniae Genome sequencing and assembly	2016-12-13
GCF_001902475.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	SWU01	Complete Genome	5699058	2	2	57.5	98.66	0.67	Illumina Miseq and PacBio RS Sequencing	SAMN06109054	blood specimen	Homo sapiens	infection	China	2015-03	PRJNA354663	SWU01 Genome sequencing and assembly	2016-12-13
GCF_001902515.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	Kp_Goe_71070	Complete Genome	5658942	4	4	57	98.42	0.67	PacBio	SAMN05412456	urine sample	Homo sapiens	Urinary tract infection	Germany: Goettingen	2013-04-05	PRJNA329409	Klebsiella pneumoniae Genome sequencing and assembly	2016-12-13
GCF_001908515.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	CAV1042	Complete Genome	5752260	7	7	57	98.55	1.95	PacBio	SAMN03024576	urine	Homo sapiens	Urinary Tract Infection	USA:Virginia	2008-04	PRJNA246471	Genome sequencing of KPC-producing Gammaproteobacteria	2016-12-19
GCF_001908595.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	Kp_Goe_149473	Complete Genome	5916317	6	6	56.5	98.42	1.21	PacBio	SAMN05412458	tracheal secretion	Homo sapiens	pneumonia	Germany: Goettingen	2014-05-07	PRJNA329409	Klebsiella pneumoniae Genome sequencing and assembly	2016-12-19
GCF_001908625.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	Kp_Goe_827024	Complete Genome	5907691	6	6	56.5	98.42	1.21	PacBio	SAMN05412797	abdominal drainage fluid	Homo sapiens	peritonitis	Germany: Goettingen	2014-05-30	PRJNA329409	Klebsiella pneumoniae Genome sequencing and assembly	2016-12-19
GCF_001908655.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	Kp_Goe_827026	Complete Genome	5913496	6	6	56.5	98.42	1.21	PacBio	SAMN05412802	nasal swab	Homo sapiens	colonization	Germany: Goettingen	2014-05-30	PRJNA329409	Klebsiella pneumoniae Genome sequencing and assembly	2016-12-19
GCF_001908675.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	Kp_Goe_152021	Complete Genome	5921376	6	6	56.5	98.42	1.21	PacBio	SAMN05412803	abdominal drainage fluid	Homo sapiens	peritonitis	Germany: Goettingen	2014-06-13	PRJNA329409	Klebsiella pneumoniae Genome sequencing and assembly	2016-12-19
GCF_001908695.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	KP_Goe_828304	Complete Genome	5914083	6	6	56.5	98.42	1.27	PacBio	SAMN05412804	anal swab	Homo sapiens	colonization	Germany: Goettingen	2014-06-17	PRJNA329409	Klebsiella pneumoniae Genome sequencing and assembly	2016-12-19
GCF_001908875.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	Kp_Goe_149832	Complete Genome	5920288	6	6	56.5	98.42	1.21	PacBio	SAMN05412459	abdominal drain fluid	Homo sapiens	peritonitis	Germany: Goettingen	2014-05-12	PRJNA329409	Klebsiella pneumoniae Genome sequencing and assembly	2016-12-19
GCF_001908895.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	Kp_Goe_821588	Complete Genome	5526153	3	3	57.5	98.9	0.19	PacBio	SAMN05412457	anal swab	Homo sapiens	colonization	Germany: Goettingen	2014-02-11	PRJNA329409	Klebsiella pneumoniae Genome sequencing and assembly	2016-12-19
GCF_001913175.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	Kp_Goe_121641	Complete Genome	5627728	6	6	57	98.42	0.67	PacBio	SAMN05412452	urine sample	Homo sapiens	Urinary tract infection	Germany: Goettingen	2013-03-12	PRJNA329409	Klebsiella pneumoniae Genome sequencing and assembly	2016-12-21
GCF_001922465.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	AR_0049	Complete Genome	5779484	4	4	57	98.9	1.35	PacBio RSII	SAMN04014890	missing	missing	missing	missing	missing	PRJNA292904	Gram Negative Carbapenemase Detection Genome sequencing and assembly	2016-12-27
GCF_001922465.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	AR_0049	Complete Genome	5779484	4	4	57	98.9	1.35	PacBio RSII	SAMN04014890	missing	missing	missing	missing	missing	PRJNA292904	FDA-CDC Antimicrobial Resistance Bank	2016-12-27
GCF_001922465.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	AR_0049	Complete Genome	5779484	4	4	57	98.9	1.35	PacBio RSII	SAMN04014890	missing	missing	missing	missing	missing	PRJNA292904	CDC DHQP Seq	2016-12-27
GCF_001936035.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	ATCC 35657	Complete Genome	5387970	2	2	57.5	98.71	0.71	PacBio RSII	SAMN03455977				missing	missing	PRJNA279657	Klebsiella pneumoniae strain:ATCC 35657 Genome sequencing	2017-01-05
GCF_001936035.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	ATCC 35657	Complete Genome	5387970	2	2	57.5	98.71	0.71	PacBio RSII	SAMN03455977				missing	missing	PRJNA279657	Microbial Genomics Section	2017-01-05
GCF_001939885.2	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	GN-2	Complete Genome	5652219	2	2	57	98.64	0.37	PacBio	SAMN05928590	Drainage samples from liver abscess	Homo sapiens	Liver abscess	China:Fifth Affiliated Hospital of Wenzhou Medical University	2015	PRJNA349219	Liver Abscess-Causing Klebsiella pneumoniae Genome sequencing and assembly	2018-02-27
GCF_001952835.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	1756	Complete Genome	5269768	2	2	57.5	98.29	0.78	PacBio	SAMN06216564	pus	Homo sapiens		Taiwan	2004-10-26	PRJNA360900	Klebsiella pneumoniae strain:1756 Genome sequencing and assembly	2017-01-17
