Assembly Accession	ANI Best ANI match ANI	ANI Best ANI match Assembly	ANI Best ANI match Assembly Coverage	ANI Best ANI match Type Category	ANI Best ANI match Organism	ANI Best ANI match Type Assembly Coverage	ANI Best match status	ANI Category	ANI Check status	ANI Comment	ANI Declared ANI match ANI	ANI Declared ANI match Assembly	ANI Declared ANI match Assembly Coverage	ANI Declared ANI match Type Category	ANI Declared ANI match Organism	ANI Declared ANI match Type Assembly Coverage	ANI Submitted organism	ANI Submitted species	Annotation BUSCO Complete	Annotation BUSCO Duplicated	Annotation BUSCO Fragmented	Annotation BUSCO Lineage	Annotation BUSCO Missing	Annotation BUSCO Single Copy	Annotation BUSCO Total Count	Annotation BUSCO Version	Annotation Count Gene Non-coding	Annotation Count Gene Other	Annotation Count Gene Protein-coding	Annotation Count Gene Pseudogene	Annotation Count Gene Total	Annotation Method	Annotation Name	Annotation Pipeline	Annotation Provider	Annotation Release Date	Annotation Report URL	Annotation Software Version	Annotation Status	Assembly Assembly Method	Assembly Atypical Is Atypical	Assembly Atypical Warnings	Assembly BioProject Accession	Assembly BioProject Lineage Accession	Assembly BioProject Lineage Parent Accession	Assembly BioProject Lineage Parent Accessions	Assembly BioProject Lineage Title	Assembly BioSample Accession	Assembly BioSample Age	Assembly BioSample Attribute Name	Assembly BioSample Attribute Value	Assembly BioSample Biomaterial provider	Assembly BioSample BioProject Accession	Assembly BioSample BioProject Parent Accession	Assembly BioSample BioProject Parent Accessions	Assembly BioSample BioProject Title	Assembly BioSample Breed	Assembly BioSample Collected by	Assembly BioSample Collection date	Assembly BioSample Cultivar	Assembly BioSample Description Comment	Assembly BioSample Description Organism Common Name	Assembly BioSample Description Organism Infraspecific Names Breed	Assembly BioSample Description Organism Infraspecific Names Cultivar	Assembly BioSample Description Organism Infraspecific Names Ecotype	Assembly BioSample Description Organism Infraspecific Names Isolate	Assembly BioSample Description Organism Infraspecific Names Sex	Assembly BioSample Description Organism Infraspecific Names Strain	Assembly BioSample Description Organism Name	Assembly BioSample Description Organism Pangolin Classification	Assembly BioSample Description Organism Taxonomic ID	Assembly BioSample Description Title	Assembly BioSample Development stage	Assembly BioSample Ecotype	Assembly BioSample Geographic location	Assembly BioSample Host	Assembly BioSample Host disease	Assembly BioSample Identified by	Assembly BioSample Sample Identifiers Database	Assembly BioSample Sample Identifiers Label	Assembly BioSample Sample Identifiers Value	Assembly BioSample IFSAC category	Assembly BioSample Isolate	Assembly BioSample Isolate name alias	Assembly BioSample Isolation source	Assembly BioSample Last updated	Assembly BioSample Latitude and Longitude	Assembly BioSample Models	Assembly BioSample Owner Contact Lab	Assembly BioSample Owner Name	Assembly BioSample Package	Assembly BioSample Project name	Assembly BioSample Publication date	Assembly BioSample Sample name	Assembly BioSample Serotype	Assembly BioSample Serovar	Assembly BioSample Sex	Assembly BioSample Source type	Assembly BioSample Status Status	Assembly BioSample Status When	Assembly BioSample Strain	Assembly BioSample Sub-species	Assembly BioSample Submission date	Assembly BioSample Tissue	Assembly Blast URL	Assembly Description	Assembly Diploid Role	Assembly Grouping Method	Assembly Level	Assembly Linked Assembly Accession	Assembly Linked Assembly Type	Assembly LongName	Assembly Name	Assembly Notes 	Assembly Paired Assembly Accession	Assembly Paired Assembly Changed	Assembly Paired Assembly Differences	Assembly Paired Assembly Manual Diff	Assembly Paired Assembly Name	Assembly Paired Assembly Only Genbank	Assembly Paired Assembly Only RefSeq	Assembly Paired Assembly RefSeq GenBank Are Different	Assembly Paired Assembly Status	Assembly Refseq Category	Assembly Release Date	Assembly Sequencing Tech	Assembly Status	Assembly Submitter	Assembly Suppression Reason	Assembly Synonym	Assembly Type	Assembly Stats ATGC Count	Assembly Stats Contig L50	Assembly Stats Contig N50	Assembly Stats Gaps Between Scaffolds Count	Assembly Stats GC Count	Assembly Stats GC Percent	Assembly Stats Genome Coverage	Assembly Stats Number of Component Sequences	Assembly Stats Number of Contigs	Assembly Stats Number of Organelles	Assembly Stats Number of Scaffolds	Assembly Stats Scaffold L50	Assembly Stats Scaffold N50	Assembly Stats Total Number of Chromosomes	Assembly Stats Total Sequence Length	Assembly Stats Total Ungapped Length	CheckM completeness	CheckM completeness percentile	CheckM contamination	CheckM marker set	CheckM marker set rank	CheckM species tax id	CheckM version	Current Accession	Organelle Assembly Name	Organelle BioProject Accessions	Organelle Description	Organelle Infraspecific Name	Organelle Submitter	Organelle Total Seq Length	Organism Common Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Organism Infraspecific Names Strain	Organism Name	Organism Pangolin Classification	Organism Taxonomic ID	Source Database	Type Material Display Text	Type Material Label	WGS contigs URL	WGS project accession	WGS URL
GCF_039515985.1	99.11	GCA_000788015.1	86.7	type	Klebsiella pneumoniae	86.66	derived_species_match	category_na	OK	na	99.11	GCA_000788015.1	86.7	type	Klebsiella pneumoniae subsp. pneumoniae	86.66	Klebsiella pneumoniae	Klebsiella pneumoniae									125		5287	187	5599	Best-placed reference protein set; GeneMarkS-2+	GCF_039515985.1-RS_2025_05_23	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	NCBI RefSeq	2025-05-23		6.10		HGAP v. 4			PRJNA1105649	PRJNA1105649			Klebsiella pneumoniae strain:Kp459 Genome sequencing	SAMN41106964		strain	Kp459		PRJNA1105649						2021										Klebsiella pneumoniae		573	Microbe sample from Klebsiella pneumoniae			China:Nanchang	Homo sapiens				Sample name	Kp459				blood	2024-04-28T21:01:05.550		Microbe, viral or environmental		First Affiliated Hospital of Nanchang University, Nanchang University, Nanchang	Microbe.1.0		2024-04-28T00:00:00.000						live	2024-04-28T20:13:04.466	Kp459		2024-04-28T20:13:04.467						Complete Genome				ASM3951598v1		GCA_039515985.1				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)				current		2024-05-06	PacBio Sequel	current	First Affiliated Hospital of Nanchang University, Nanchang University, Nanchang			haploid	5723037	1	5420356		3261023	57	288	4	4		4	1	5420356	4	5723037	5723037	98.14	18.1951	0.65	Klebsiella pneumoniae	species	573	v1.2.3	GCF_039515985.1													Kp459	Klebsiella pneumoniae		573	SOURCE_DATABASE_REFSEQ					
GCF_039515985.1	99.11	GCA_000788015.1	86.7	type	Klebsiella pneumoniae	86.66	derived_species_match	category_na	OK	na	99.11	GCA_000788015.1	86.7	type	Klebsiella pneumoniae subsp. pneumoniae	86.66	Klebsiella pneumoniae	Klebsiella pneumoniae									125		5287	187	5599	Best-placed reference protein set; GeneMarkS-2+	GCF_039515985.1-RS_2025_05_23	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	NCBI RefSeq	2025-05-23		6.10		HGAP v. 4			PRJNA1105649	PRJNA1105649			Klebsiella pneumoniae strain:Kp459 Genome sequencing	SAMN41106964		host	Homo sapiens		PRJNA1105649						2021										Klebsiella pneumoniae		573	Microbe sample from Klebsiella pneumoniae			China:Nanchang	Homo sapiens				Sample name	Kp459				blood	2024-04-28T21:01:05.550		Microbe, viral or environmental		First Affiliated Hospital of Nanchang University, Nanchang University, Nanchang	Microbe.1.0		2024-04-28T00:00:00.000						live	2024-04-28T20:13:04.466	Kp459		2024-04-28T20:13:04.467						Complete Genome				ASM3951598v1		GCA_039515985.1				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)				current		2024-05-06	PacBio Sequel	current	First Affiliated Hospital of Nanchang University, Nanchang University, Nanchang			haploid	5723037	1	5420356		3261023	57	288	4	4		4	1	5420356	4	5723037	5723037	98.14	18.1951	0.65	Klebsiella pneumoniae	species	573	v1.2.3	GCF_039515985.1													Kp459	Klebsiella pneumoniae		573	SOURCE_DATABASE_REFSEQ					
GCF_039515985.1	99.11	GCA_000788015.1	86.7	type	Klebsiella pneumoniae	86.66	derived_species_match	category_na	OK	na	99.11	GCA_000788015.1	86.7	type	Klebsiella pneumoniae subsp. pneumoniae	86.66	Klebsiella pneumoniae	Klebsiella pneumoniae									125		5287	187	5599	Best-placed reference protein set; GeneMarkS-2+	GCF_039515985.1-RS_2025_05_23	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	NCBI RefSeq	2025-05-23		6.10		HGAP v. 4			PRJNA1105649	PRJNA1105649			Klebsiella pneumoniae strain:Kp459 Genome sequencing	SAMN41106964		isolation_source	blood		PRJNA1105649						2021										Klebsiella pneumoniae		573	Microbe sample from Klebsiella pneumoniae			China:Nanchang	Homo sapiens				Sample name	Kp459				blood	2024-04-28T21:01:05.550		Microbe, viral or environmental		First Affiliated Hospital of Nanchang University, Nanchang University, Nanchang	Microbe.1.0		2024-04-28T00:00:00.000						live	2024-04-28T20:13:04.466	Kp459		2024-04-28T20:13:04.467						Complete Genome				ASM3951598v1		GCA_039515985.1				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)				current		2024-05-06	PacBio Sequel	current	First Affiliated Hospital of Nanchang University, Nanchang University, Nanchang			haploid	5723037	1	5420356		3261023	57	288	4	4		4	1	5420356	4	5723037	5723037	98.14	18.1951	0.65	Klebsiella pneumoniae	species	573	v1.2.3	GCF_039515985.1													Kp459	Klebsiella pneumoniae		573	SOURCE_DATABASE_REFSEQ					
GCF_039515985.1	99.11	GCA_000788015.1	86.7	type	Klebsiella pneumoniae	86.66	derived_species_match	category_na	OK	na	99.11	GCA_000788015.1	86.7	type	Klebsiella pneumoniae subsp. pneumoniae	86.66	Klebsiella pneumoniae	Klebsiella pneumoniae									125		5287	187	5599	Best-placed reference protein set; GeneMarkS-2+	GCF_039515985.1-RS_2025_05_23	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	NCBI RefSeq	2025-05-23		6.10		HGAP v. 4			PRJNA1105649	PRJNA1105649			Klebsiella pneumoniae strain:Kp459 Genome sequencing	SAMN41106964		collection_date	2021		PRJNA1105649						2021										Klebsiella pneumoniae		573	Microbe sample from Klebsiella pneumoniae			China:Nanchang	Homo sapiens				Sample name	Kp459				blood	2024-04-28T21:01:05.550		Microbe, viral or environmental		First Affiliated Hospital of Nanchang University, Nanchang University, Nanchang	Microbe.1.0		2024-04-28T00:00:00.000						live	2024-04-28T20:13:04.466	Kp459		2024-04-28T20:13:04.467						Complete Genome				ASM3951598v1		GCA_039515985.1				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)				current		2024-05-06	PacBio Sequel	current	First Affiliated Hospital of Nanchang University, Nanchang University, Nanchang			haploid	5723037	1	5420356		3261023	57	288	4	4		4	1	5420356	4	5723037	5723037	98.14	18.1951	0.65	Klebsiella pneumoniae	species	573	v1.2.3	GCF_039515985.1													Kp459	Klebsiella pneumoniae		573	SOURCE_DATABASE_REFSEQ					
GCF_039515985.1	99.11	GCA_000788015.1	86.7	type	Klebsiella pneumoniae	86.66	derived_species_match	category_na	OK	na	99.11	GCA_000788015.1	86.7	type	Klebsiella pneumoniae subsp. pneumoniae	86.66	Klebsiella pneumoniae	Klebsiella pneumoniae									125		5287	187	5599	Best-placed reference protein set; GeneMarkS-2+	GCF_039515985.1-RS_2025_05_23	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	NCBI RefSeq	2025-05-23		6.10		HGAP v. 4			PRJNA1105649	PRJNA1105649			Klebsiella pneumoniae strain:Kp459 Genome sequencing	SAMN41106964		geo_loc_name	China:Nanchang		PRJNA1105649						2021										Klebsiella pneumoniae		573	Microbe sample from Klebsiella pneumoniae			China:Nanchang	Homo sapiens				Sample name	Kp459				blood	2024-04-28T21:01:05.550		Microbe, viral or environmental		First Affiliated Hospital of Nanchang University, Nanchang University, Nanchang	Microbe.1.0		2024-04-28T00:00:00.000						live	2024-04-28T20:13:04.466	Kp459		2024-04-28T20:13:04.467						Complete Genome				ASM3951598v1		GCA_039515985.1				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)				current		2024-05-06	PacBio Sequel	current	First Affiliated Hospital of Nanchang University, Nanchang University, Nanchang			haploid	5723037	1	5420356		3261023	57	288	4	4		4	1	5420356	4	5723037	5723037	98.14	18.1951	0.65	Klebsiella pneumoniae	species	573	v1.2.3	GCF_039515985.1													Kp459	Klebsiella pneumoniae		573	SOURCE_DATABASE_REFSEQ					
GCF_039515985.1	99.11	GCA_000788015.1	86.7	type	Klebsiella pneumoniae	86.66	derived_species_match	category_na	OK	na	99.11	GCA_000788015.1	86.7	type	Klebsiella pneumoniae subsp. pneumoniae	86.66	Klebsiella pneumoniae	Klebsiella pneumoniae									125		5287	187	5599	Best-placed reference protein set; GeneMarkS-2+	GCF_039515985.1-RS_2025_05_23	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	NCBI RefSeq	2025-05-23		6.10		HGAP v. 4			PRJNA1105649	PRJNA1105649			Klebsiella pneumoniae strain:Kp459 Genome sequencing	SAMN41106964		sample_type	whole organism		PRJNA1105649						2021										Klebsiella pneumoniae		573	Microbe sample from Klebsiella pneumoniae			China:Nanchang	Homo sapiens				Sample name	Kp459				blood	2024-04-28T21:01:05.550		Microbe, viral or environmental		First Affiliated Hospital of Nanchang University, Nanchang University, Nanchang	Microbe.1.0		2024-04-28T00:00:00.000						live	2024-04-28T20:13:04.466	Kp459		2024-04-28T20:13:04.467						Complete Genome				ASM3951598v1		GCA_039515985.1				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)				current		2024-05-06	PacBio Sequel	current	First Affiliated Hospital of Nanchang University, Nanchang University, Nanchang			haploid	5723037	1	5420356		3261023	57	288	4	4		4	1	5420356	4	5723037	5723037	98.14	18.1951	0.65	Klebsiella pneumoniae	species	573	v1.2.3	GCF_039515985.1													Kp459	Klebsiella pneumoniae		573	SOURCE_DATABASE_REFSEQ					
GCF_039518015.1	99.69	GCA_000788015.1	87.07	type	Klebsiella pneumoniae	90.87	derived_species_match	category_na	OK	na	99.69	GCA_000788015.1	87.07	type	Klebsiella pneumoniae subsp. pneumoniae	90.87	Klebsiella pneumoniae	Klebsiella pneumoniae									123		5727	187	6037	Best-placed reference protein set; GeneMarkS-2+	GCF_039518015.1-RS_2025_05_23	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	NCBI RefSeq	2025-05-23		6.10		HGAP v. 4			PRJNA1105644	PRJNA1105644			Klebsiella pneumoniae strain:Kp241 Genome sequencing	SAMN41106943		strain	Kp241		PRJNA1105644						2021										Klebsiella pneumoniae		573	Microbe sample from Klebsiella pneumoniae			China:Nanchang	Homo sapiens				Sample name	Kp241				sputum	2024-04-28T20:01:03.910		Microbe, viral or environmental		First Affiliated Hospital of Nanchang University, Nanchang University, Nanchang	Microbe.1.0		2024-04-28T00:00:00.000						live	2024-04-28T19:48:04.290	Kp241		2024-04-28T19:48:04.290						Complete Genome				ASM3951801v1		GCA_039518015.1				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)				current		2024-05-06	PacBio Sequel	current	First Affiliated Hospital of Nanchang University, Nanchang University, Nanchang			haploid	5975667	1	5508176		3402021	57	215	5	5		5	1	5508176	5	5975667	5975667	99.05	86.0221	0.43	Klebsiella pneumoniae	species	573	v1.2.3	GCF_039518015.1													Kp241	Klebsiella pneumoniae		573	SOURCE_DATABASE_REFSEQ					
GCF_039518015.1	99.69	GCA_000788015.1	87.07	type	Klebsiella pneumoniae	90.87	derived_species_match	category_na	OK	na	99.69	GCA_000788015.1	87.07	type	Klebsiella pneumoniae subsp. pneumoniae	90.87	Klebsiella pneumoniae	Klebsiella pneumoniae									123		5727	187	6037	Best-placed reference protein set; GeneMarkS-2+	GCF_039518015.1-RS_2025_05_23	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	NCBI RefSeq	2025-05-23		6.10		HGAP v. 4			PRJNA1105644	PRJNA1105644			Klebsiella pneumoniae strain:Kp241 Genome sequencing	SAMN41106943		host	Homo sapiens		PRJNA1105644						2021										Klebsiella pneumoniae		573	Microbe sample from Klebsiella pneumoniae			China:Nanchang	Homo sapiens				Sample name	Kp241				sputum	2024-04-28T20:01:03.910		Microbe, viral or environmental		First Affiliated Hospital of Nanchang University, Nanchang University, Nanchang	Microbe.1.0		2024-04-28T00:00:00.000						live	2024-04-28T19:48:04.290	Kp241		2024-04-28T19:48:04.290						Complete Genome				ASM3951801v1		GCA_039518015.1				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)				current		2024-05-06	PacBio Sequel	current	First Affiliated Hospital of Nanchang University, Nanchang University, Nanchang			haploid	5975667	1	5508176		3402021	57	215	5	5		5	1	5508176	5	5975667	5975667	99.05	86.0221	0.43	Klebsiella pneumoniae	species	573	v1.2.3	GCF_039518015.1													Kp241	Klebsiella pneumoniae		573	SOURCE_DATABASE_REFSEQ					
GCF_039518015.1	99.69	GCA_000788015.1	87.07	type	Klebsiella pneumoniae	90.87	derived_species_match	category_na	OK	na	99.69	GCA_000788015.1	87.07	type	Klebsiella pneumoniae subsp. pneumoniae	90.87	Klebsiella pneumoniae	Klebsiella pneumoniae									123		5727	187	6037	Best-placed reference protein set; GeneMarkS-2+	GCF_039518015.1-RS_2025_05_23	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	NCBI RefSeq	2025-05-23		6.10		HGAP v. 4			PRJNA1105644	PRJNA1105644			Klebsiella pneumoniae strain:Kp241 Genome sequencing	SAMN41106943		isolation_source	sputum		PRJNA1105644						2021										Klebsiella pneumoniae		573	Microbe sample from Klebsiella pneumoniae			China:Nanchang	Homo sapiens				Sample name	Kp241				sputum	2024-04-28T20:01:03.910		Microbe, viral or environmental		First Affiliated Hospital of Nanchang University, Nanchang University, Nanchang	Microbe.1.0		2024-04-28T00:00:00.000						live	2024-04-28T19:48:04.290	Kp241		2024-04-28T19:48:04.290						Complete Genome				ASM3951801v1		GCA_039518015.1				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)				current		2024-05-06	PacBio Sequel	current	First Affiliated Hospital of Nanchang University, Nanchang University, Nanchang			haploid	5975667	1	5508176		3402021	57	215	5	5		5	1	5508176	5	5975667	5975667	99.05	86.0221	0.43	Klebsiella pneumoniae	species	573	v1.2.3	GCF_039518015.1													Kp241	Klebsiella pneumoniae		573	SOURCE_DATABASE_REFSEQ					
GCF_039518015.1	99.69	GCA_000788015.1	87.07	type	Klebsiella pneumoniae	90.87	derived_species_match	category_na	OK	na	99.69	GCA_000788015.1	87.07	type	Klebsiella pneumoniae subsp. pneumoniae	90.87	Klebsiella pneumoniae	Klebsiella pneumoniae									123		5727	187	6037	Best-placed reference protein set; GeneMarkS-2+	GCF_039518015.1-RS_2025_05_23	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	NCBI RefSeq	2025-05-23		6.10		HGAP v. 4			PRJNA1105644	PRJNA1105644			Klebsiella pneumoniae strain:Kp241 Genome sequencing	SAMN41106943		collection_date	2021		PRJNA1105644						2021										Klebsiella pneumoniae		573	Microbe sample from Klebsiella pneumoniae			China:Nanchang	Homo sapiens				Sample name	Kp241				sputum	2024-04-28T20:01:03.910		Microbe, viral or environmental		First Affiliated Hospital of Nanchang University, Nanchang University, Nanchang	Microbe.1.0		2024-04-28T00:00:00.000						live	2024-04-28T19:48:04.290	Kp241		2024-04-28T19:48:04.290						Complete Genome				ASM3951801v1		GCA_039518015.1				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)				current		2024-05-06	PacBio Sequel	current	First Affiliated Hospital of Nanchang University, Nanchang University, Nanchang			haploid	5975667	1	5508176		3402021	57	215	5	5		5	1	5508176	5	5975667	5975667	99.05	86.0221	0.43	Klebsiella pneumoniae	species	573	v1.2.3	GCF_039518015.1													Kp241	Klebsiella pneumoniae		573	SOURCE_DATABASE_REFSEQ					
GCF_039518015.1	99.69	GCA_000788015.1	87.07	type	Klebsiella pneumoniae	90.87	derived_species_match	category_na	OK	na	99.69	GCA_000788015.1	87.07	type	Klebsiella pneumoniae subsp. pneumoniae	90.87	Klebsiella pneumoniae	Klebsiella pneumoniae									123		5727	187	6037	Best-placed reference protein set; GeneMarkS-2+	GCF_039518015.1-RS_2025_05_23	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	NCBI RefSeq	2025-05-23		6.10		HGAP v. 4			PRJNA1105644	PRJNA1105644			Klebsiella pneumoniae strain:Kp241 Genome sequencing	SAMN41106943		geo_loc_name	China:Nanchang		PRJNA1105644						2021										Klebsiella pneumoniae		573	Microbe sample from Klebsiella pneumoniae			China:Nanchang	Homo sapiens				Sample name	Kp241				sputum	2024-04-28T20:01:03.910		Microbe, viral or environmental		First Affiliated Hospital of Nanchang University, Nanchang University, Nanchang	Microbe.1.0		2024-04-28T00:00:00.000						live	2024-04-28T19:48:04.290	Kp241		2024-04-28T19:48:04.290						Complete Genome				ASM3951801v1		GCA_039518015.1				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)				current		2024-05-06	PacBio Sequel	current	First Affiliated Hospital of Nanchang University, Nanchang University, Nanchang			haploid	5975667	1	5508176		3402021	57	215	5	5		5	1	5508176	5	5975667	5975667	99.05	86.0221	0.43	Klebsiella pneumoniae	species	573	v1.2.3	GCF_039518015.1													Kp241	Klebsiella pneumoniae		573	SOURCE_DATABASE_REFSEQ					
GCF_039518015.1	99.69	GCA_000788015.1	87.07	type	Klebsiella pneumoniae	90.87	derived_species_match	category_na	OK	na	99.69	GCA_000788015.1	87.07	type	Klebsiella pneumoniae subsp. pneumoniae	90.87	Klebsiella pneumoniae	Klebsiella pneumoniae									123		5727	187	6037	Best-placed reference protein set; GeneMarkS-2+	GCF_039518015.1-RS_2025_05_23	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	NCBI RefSeq	2025-05-23		6.10		HGAP v. 4			PRJNA1105644	PRJNA1105644			Klebsiella pneumoniae strain:Kp241 Genome sequencing	SAMN41106943		sample_type	whole organism		PRJNA1105644						2021										Klebsiella pneumoniae		573	Microbe sample from Klebsiella pneumoniae			China:Nanchang	Homo sapiens				Sample name	Kp241				sputum	2024-04-28T20:01:03.910		Microbe, viral or environmental		First Affiliated Hospital of Nanchang University, Nanchang University, Nanchang	Microbe.1.0		2024-04-28T00:00:00.000						live	2024-04-28T19:48:04.290	Kp241		2024-04-28T19:48:04.290						Complete Genome				ASM3951801v1		GCA_039518015.1				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)				current		2024-05-06	PacBio Sequel	current	First Affiliated Hospital of Nanchang University, Nanchang University, Nanchang			haploid	5975667	1	5508176		3402021	57	215	5	5		5	1	5508176	5	5975667	5975667	99.05	86.0221	0.43	Klebsiella pneumoniae	species	573	v1.2.3	GCF_039518015.1													Kp241	Klebsiella pneumoniae		573	SOURCE_DATABASE_REFSEQ					
GCF_039519055.1	99.74	GCA_000788015.1	89.52	type	Klebsiella pneumoniae	91.22	derived_species_match	category_na	OK	na	99.74	GCA_000788015.1	89.52	type	Klebsiella pneumoniae subsp. pneumoniae	91.22	Klebsiella pneumoniae	Klebsiella pneumoniae									122		5564	178	5864	Best-placed reference protein set; GeneMarkS-2+	GCF_039519055.1-RS_2025_05_23	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	NCBI RefSeq	2025-05-23		6.10		HGAP v. 4			PRJNA1105645	PRJNA1105645			Klebsiella pneumoniae strain:Kp337 Genome sequencing	SAMN41106960		strain	Kp337		PRJNA1105645						2021										Klebsiella pneumoniae		573	Microbe sample from Klebsiella pneumoniae			China:Nanchang	Homo sapiens				Sample name	Kp337				urine	2024-04-28T20:01:04.857		Microbe, viral or environmental		First Affiliated Hospital of Nanchang University, Nanchang University, Nanchang	Microbe.1.0		2024-04-28T00:00:00.000						live	2024-04-28T19:56:04.429	Kp337		2024-04-28T19:56:04.430						Complete Genome				ASM3951905v1		GCA_039519055.1				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)				current		2024-05-06	PacBio Sequel	current	First Affiliated Hospital of Nanchang University, Nanchang University, Nanchang			haploid	5834445	1	5425570		3325730	57	734	4	4		4	1	5425570	4	5834445	5834445	99.02	81.9346	0.43	Klebsiella pneumoniae	species	573	v1.2.3	GCF_039519055.1													Kp337	Klebsiella pneumoniae		573	SOURCE_DATABASE_REFSEQ					
GCF_039519055.1	99.74	GCA_000788015.1	89.52	type	Klebsiella pneumoniae	91.22	derived_species_match	category_na	OK	na	99.74	GCA_000788015.1	89.52	type	Klebsiella pneumoniae subsp. pneumoniae	91.22	Klebsiella pneumoniae	Klebsiella pneumoniae									122		5564	178	5864	Best-placed reference protein set; GeneMarkS-2+	GCF_039519055.1-RS_2025_05_23	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	NCBI RefSeq	2025-05-23		6.10		HGAP v. 4			PRJNA1105645	PRJNA1105645			Klebsiella pneumoniae strain:Kp337 Genome sequencing	SAMN41106960		host	Homo sapiens		PRJNA1105645						2021										Klebsiella pneumoniae		573	Microbe sample from Klebsiella pneumoniae			China:Nanchang	Homo sapiens				Sample name	Kp337				urine	2024-04-28T20:01:04.857		Microbe, viral or environmental		First Affiliated Hospital of Nanchang University, Nanchang University, Nanchang	Microbe.1.0		2024-04-28T00:00:00.000						live	2024-04-28T19:56:04.429	Kp337		2024-04-28T19:56:04.430						Complete Genome				ASM3951905v1		GCA_039519055.1				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)				current		2024-05-06	PacBio Sequel	current	First Affiliated Hospital of Nanchang University, Nanchang University, Nanchang			haploid	5834445	1	5425570		3325730	57	734	4	4		4	1	5425570	4	5834445	5834445	99.02	81.9346	0.43	Klebsiella pneumoniae	species	573	v1.2.3	GCF_039519055.1													Kp337	Klebsiella pneumoniae		573	SOURCE_DATABASE_REFSEQ					
GCF_039519055.1	99.74	GCA_000788015.1	89.52	type	Klebsiella pneumoniae	91.22	derived_species_match	category_na	OK	na	99.74	GCA_000788015.1	89.52	type	Klebsiella pneumoniae subsp. pneumoniae	91.22	Klebsiella pneumoniae	Klebsiella pneumoniae									122		5564	178	5864	Best-placed reference protein set; GeneMarkS-2+	GCF_039519055.1-RS_2025_05_23	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	NCBI RefSeq	2025-05-23		6.10		HGAP v. 4			PRJNA1105645	PRJNA1105645			Klebsiella pneumoniae strain:Kp337 Genome sequencing	SAMN41106960		isolation_source	urine		PRJNA1105645						2021										Klebsiella pneumoniae		573	Microbe sample from Klebsiella pneumoniae			China:Nanchang	Homo sapiens				Sample name	Kp337				urine	2024-04-28T20:01:04.857		Microbe, viral or environmental		First Affiliated Hospital of Nanchang University, Nanchang University, Nanchang	Microbe.1.0		2024-04-28T00:00:00.000						live	2024-04-28T19:56:04.429	Kp337		2024-04-28T19:56:04.430						Complete Genome				ASM3951905v1		GCA_039519055.1				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)				current		2024-05-06	PacBio Sequel	current	First Affiliated Hospital of Nanchang University, Nanchang University, Nanchang			haploid	5834445	1	5425570		3325730	57	734	4	4		4	1	5425570	4	5834445	5834445	99.02	81.9346	0.43	Klebsiella pneumoniae	species	573	v1.2.3	GCF_039519055.1													Kp337	Klebsiella pneumoniae		573	SOURCE_DATABASE_REFSEQ					
